Rede,Escola,Serie,Turma,Status,AnoLetivo,Turno,Aluno,Matricula,E-mail do Educacional do aluno,CPF,Responsavel
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 31,10031,aluno31@motivo.com.br,12345678901,Resp 31
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 32,10032,aluno32@motivo.com.br,12345678901,Resp 32
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 33,10033,aluno33@motivo.com.br,12345678901,Resp 33
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 34,10034,aluno34@motivo.com.br,12345678901,Resp 34
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 35,10035,aluno35@motivo.com.br,12345678901,Resp 35
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 36,10036,aluno36@motivo.com.br,12345678901,Resp 36
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 37,10037,aluno37@motivo.com.br,12345678901,Resp 37
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 38,10038,aluno38@motivo.com.br,12345678901,Resp 38
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 39,10039,aluno39@motivo.com.br,12345678901,Resp 39
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 40,10040,aluno40@motivo.com.br,12345678901,Resp 40
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 41,10041,aluno41@motivo.com.br,12345678901,Resp 41
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 42,10042,aluno42@motivo.com.br,12345678901,Resp 42
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 43,10043,aluno43@motivo.com.br,12345678901,Resp 43
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 44,10044,aluno44@motivo.com.br,12345678901,Resp 44
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 45,10045,aluno45@motivo.com.br,12345678901,Resp 45
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 46,10046,aluno46@motivo.com.br,12345678901,Resp 46
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 47,10047,aluno47@motivo.com.br,12345678901,Resp 47
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 48,10048,aluno48@motivo.com.br,12345678901,Resp 48
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 49,10049,aluno49@motivo.com.br,12345678901,Resp 49
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 50,10050,aluno50@motivo.com.br,12345678901,Resp 50
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 51,10051,aluno51@motivo.com.br,12345678901,Resp 51
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 52,10052,aluno52@motivo.com.br,12345678901,Resp 52
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 53,10053,aluno53@motivo.com.br,12345678901,Resp 53
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 54,10054,aluno54@motivo.com.br,12345678901,Resp 54
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 55,10055,aluno55@motivo.com.br,12345678901,Resp 55
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 56,10056,aluno56@motivo.com.br,12345678901,Resp 56
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 57,10057,aluno57@motivo.com.br,12345678901,Resp 57
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 58,10058,aluno58@motivo.com.br,12345678901,Resp 58
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 59,10059,aluno59@motivo.com.br,12345678901,Resp 59
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 60,10060,aluno60@motivo.com.br,12345678901,Resp 60
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 61,10061,aluno61@motivo.com.br,12345678901,Resp 61
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 62,10062,aluno62@motivo.com.br,12345678901,Resp 62
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 63,10063,aluno63@motivo.com.br,12345678901,Resp 63
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 64,10064,aluno64@motivo.com.br,12345678901,Resp 64
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 65,10065,aluno65@motivo.com.br,12345678901,Resp 65
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 66,10066,aluno66@motivo.com.br,12345678901,Resp 66
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 67,10067,aluno67@motivo.com.br,12345678901,Resp 67
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 68,10068,aluno68@motivo.com.br,12345678901,Resp 68
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 69,10069,aluno69@motivo.com.br,12345678901,Resp 69
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 70,10070,aluno70@motivo.com.br,12345678901,Resp 70
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 71,10071,aluno71@motivo.com.br,12345678901,Resp 71
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 72,10072,aluno72@motivo.com.br,12345678901,Resp 72
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 73,10073,aluno73@motivo.com.br,12345678901,Resp 73
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 74,10074,aluno74@motivo.com.br,12345678901,Resp 74
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 75,10075,aluno75@motivo.com.br,12345678901,Resp 75
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 76,10076,aluno76@motivo.com.br,12345678901,Resp 76
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 77,10077,aluno77@motivo.com.br,12345678901,Resp 77
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 78,10078,aluno78@motivo.com.br,12345678901,Resp 78
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 79,10079,aluno79@motivo.com.br,12345678901,Resp 79
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 80,10080,aluno80@motivo.com.br,12345678901,Resp 80
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 81,10081,aluno81@motivo.com.br,12345678901,Resp 81
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 82,10082,aluno82@motivo.com.br,12345678901,Resp 82
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 83,10083,aluno83@motivo.com.br,12345678901,Resp 83
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 84,10084,aluno84@motivo.com.br,12345678901,Resp 84
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 85,10085,aluno85@motivo.com.br,12345678901,Resp 85
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 86,10086,aluno86@motivo.com.br,12345678901,Resp 86
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 87,10087,aluno87@motivo.com.br,12345678901,Resp 87
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 88,10088,aluno88@motivo.com.br,12345678901,Resp 88
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 89,10089,aluno89@motivo.com.br,12345678901,Resp 89
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 90,10090,aluno90@motivo.com.br,12345678901,Resp 90
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 91,10091,aluno91@motivo.com.br,12345678901,Resp 91
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 92,10092,aluno92@motivo.com.br,12345678901,Resp 92
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 93,10093,aluno93@motivo.com.br,12345678901,Resp 93
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 94,10094,aluno94@motivo.com.br,12345678901,Resp 94
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 95,10095,aluno95@motivo.com.br,12345678901,Resp 95
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 96,10096,aluno96@motivo.com.br,12345678901,Resp 96
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 97,10097,aluno97@motivo.com.br,12345678901,Resp 97
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 98,10098,aluno98@motivo.com.br,12345678901,Resp 98
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 99,10099,aluno99@motivo.com.br,12345678901,Resp 99
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 100,10100,aluno100@motivo.com.br,12345678901,Resp 100
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 101,10101,aluno101@motivo.com.br,12345678901,Resp 101
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 102,10102,aluno102@motivo.com.br,12345678901,Resp 102
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 103,10103,aluno103@motivo.com.br,12345678901,Resp 103
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 104,10104,aluno104@motivo.com.br,12345678901,Resp 104
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 105,10105,aluno105@motivo.com.br,12345678901,Resp 105
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 106,10106,aluno106@motivo.com.br,12345678901,Resp 106
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 107,10107,aluno107@motivo.com.br,12345678901,Resp 107
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 108,10108,aluno108@motivo.com.br,12345678901,Resp 108
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 109,10109,aluno109@motivo.com.br,12345678901,Resp 109
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 110,10110,aluno110@motivo.com.br,12345678901,Resp 110
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 111,10111,aluno111@motivo.com.br,12345678901,Resp 111
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 112,10112,aluno112@motivo.com.br,12345678901,Resp 112
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 113,10113,aluno113@motivo.com.br,12345678901,Resp 113
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 114,10114,aluno114@motivo.com.br,12345678901,Resp 114
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 115,10115,aluno115@motivo.com.br,12345678901,Resp 115
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 116,10116,aluno116@motivo.com.br,12345678901,Resp 116
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 117,10117,aluno117@motivo.com.br,12345678901,Resp 117
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 118,10118,aluno118@motivo.com.br,12345678901,Resp 118
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 119,10119,aluno119@motivo.com.br,12345678901,Resp 119
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 120,10120,aluno120@motivo.com.br,12345678901,Resp 120
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 121,10121,aluno121@motivo.com.br,12345678901,Resp 121
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 122,10122,aluno122@motivo.com.br,12345678901,Resp 122
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 123,10123,aluno123@motivo.com.br,12345678901,Resp 123
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 124,10124,aluno124@motivo.com.br,12345678901,Resp 124
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 125,10125,aluno125@motivo.com.br,12345678901,Resp 125
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 126,10126,aluno126@motivo.com.br,12345678901,Resp 126
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 127,10127,aluno127@motivo.com.br,12345678901,Resp 127
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 128,10128,aluno128@motivo.com.br,12345678901,Resp 128
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 129,10129,aluno129@motivo.com.br,12345678901,Resp 129
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 130,10130,aluno130@motivo.com.br,12345678901,Resp 130
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 131,10131,aluno131@motivo.com.br,12345678901,Resp 131
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 132,10132,aluno132@motivo.com.br,12345678901,Resp 132
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 133,10133,aluno133@motivo.com.br,12345678901,Resp 133
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 134,10134,aluno134@motivo.com.br,12345678901,Resp 134
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 135,10135,aluno135@motivo.com.br,12345678901,Resp 135
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 136,10136,aluno136@motivo.com.br,12345678901,Resp 136
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 137,10137,aluno137@motivo.com.br,12345678901,Resp 137
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 138,10138,aluno138@motivo.com.br,12345678901,Resp 138
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 139,10139,aluno139@motivo.com.br,12345678901,Resp 139
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 140,10140,aluno140@motivo.com.br,12345678901,Resp 140
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 141,10141,aluno141@motivo.com.br,12345678901,Resp 141
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 142,10142,aluno142@motivo.com.br,12345678901,Resp 142
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 143,10143,aluno143@motivo.com.br,12345678901,Resp 143
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 144,10144,aluno144@motivo.com.br,12345678901,Resp 144
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 145,10145,aluno145@motivo.com.br,12345678901,Resp 145
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 146,10146,aluno146@motivo.com.br,12345678901,Resp 146
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 147,10147,aluno147@motivo.com.br,12345678901,Resp 147
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 148,10148,aluno148@motivo.com.br,12345678901,Resp 148
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 149,10149,aluno149@motivo.com.br,12345678901,Resp 149
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 150,10150,aluno150@motivo.com.br,12345678901,Resp 150
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 151,10151,aluno151@motivo.com.br,12345678901,Resp 151
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 152,10152,aluno152@motivo.com.br,12345678901,Resp 152
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 153,10153,aluno153@motivo.com.br,12345678901,Resp 153
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 154,10154,aluno154@motivo.com.br,12345678901,Resp 154
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 155,10155,aluno155@motivo.com.br,12345678901,Resp 155
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 156,10156,aluno156@motivo.com.br,12345678901,Resp 156
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 157,10157,aluno157@motivo.com.br,12345678901,Resp 157
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 158,10158,aluno158@motivo.com.br,12345678901,Resp 158
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 159,10159,aluno159@motivo.com.br,12345678901,Resp 159
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 160,10160,aluno160@motivo.com.br,12345678901,Resp 160
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 161,10161,aluno161@motivo.com.br,12345678901,Resp 161
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 162,10162,aluno162@motivo.com.br,12345678901,Resp 162
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 163,10163,aluno163@motivo.com.br,12345678901,Resp 163
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 164,10164,aluno164@motivo.com.br,12345678901,Resp 164
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 165,10165,aluno165@motivo.com.br,12345678901,Resp 165
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 166,10166,aluno166@motivo.com.br,12345678901,Resp 166
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 167,10167,aluno167@motivo.com.br,12345678901,Resp 167
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 168,10168,aluno168@motivo.com.br,12345678901,Resp 168
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 169,10169,aluno169@motivo.com.br,12345678901,Resp 169
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 170,10170,aluno170@motivo.com.br,12345678901,Resp 170
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 171,10171,aluno171@motivo.com.br,12345678901,Resp 171
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 172,10172,aluno172@motivo.com.br,12345678901,Resp 172
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 173,10173,aluno173@motivo.com.br,12345678901,Resp 173
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 174,10174,aluno174@motivo.com.br,12345678901,Resp 174
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 175,10175,aluno175@motivo.com.br,12345678901,Resp 175
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 176,10176,aluno176@motivo.com.br,12345678901,Resp 176
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 177,10177,aluno177@motivo.com.br,12345678901,Resp 177
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 178,10178,aluno178@motivo.com.br,12345678901,Resp 178
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 179,10179,aluno179@motivo.com.br,12345678901,Resp 179
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 180,10180,aluno180@motivo.com.br,12345678901,Resp 180
